ip开始地址,ip结束地址,国家,省,市,地区,,
24.158.0.0,24.170.207.255,美国,,,,,
24.170.208.0,24.170.223.255,ARIN,,,,,
24.170.224.0,24.171.159.255,美国,,,,,
24.171.160.0,24.171.255.255,ARIN,,,,,
24.172.0.0,24.199.255.255,美国,,,,,
24.200.0.0,24.203.255.255,加拿大,,,,,
24.204.0.0,24.204.143.255,美国,,,,,
24.204.144.0,24.204.255.255,ARIN,,,,,
24.205.0.0,24.206.31.255,美国,,,,,
24.206.32.0,24.206.63.255,ARIN,,,,,
24.206.64.0,24.206.255.255,美国,,,,,
24.207.0.0,24.207.127.255,加拿大,,,,,
24.207.128.0,24.211.255.255,美国,,,,,
24.212.0.0,24.212.63.255,加拿大,,,,,
24.212.64.0,24.212.255.255,ARIN,,,,,
24.213.0.0,24.213.63.255,美国,,,,,
24.213.64.0,24.213.95.255,加拿大,,,,,
24.213.96.0,24.213.111.255,美国,,,,,
24.213.112.0,24.213.127.255,ARIN,,,,,
24.213.128.0,24.214.255.255,美国,,,,,
24.215.0.0,24.215.127.255,加拿大,,,,,
24.215.128.0,24.221.255.255,美国,,,,,
24.222.0.0,24.222.255.255,加拿大,,,,,
24.223.0.0,24.223.79.255,美国,,,,,
24.223.80.0,24.223.95.255,ARIN,,,,,
24.223.96.0,24.223.111.255,美国,,,,,
24.223.112.0,24.223.127.255,ARIN,,,,,
24.223.128.0,24.224.47.255,美国,,,,,
24.224.48.0,24.224.127.255,ARIN,,,,,
24.224.128.0,24.224.255.255,加拿大,,,,,
24.225.0.0,24.225.111.255,美国,,,,,
24.225.112.0,24.225.127.255,ARIN,,,,,
24.225.128.0,24.225.255.255,美国,,,,,
24.226.0.0,24.226.255.255,加拿大,,,,,
24.227.0.0,24.228.95.255,美国,,,,,
24.228.96.0,24.228.255.255,ARIN,,,,,
24.229.0.0,24.230.191.255,美国,,,,,
24.230.192.0,24.230.255.255,ARIN,,,,,
24.231.0.0,24.231.31.255,加拿大,,,,,
24.231.32.0,24.231.63.255,巴哈马,,,,,
24.231.64.0,24.231.111.255,加拿大,,,,,
24.231.112.0,24.231.127.255,ARIN,,,,,
24.231.128.0,24.231.255.255,美国,,,,,
24.232.0.0,24.232.255.255,阿根廷,,,,,
24.233.0.0,24.233.111.255,美国,,,,,
24.233.112.0,24.233.127.255,ARIN,,,,,
24.233.128.0,24.233.191.255,美国,,,,,
24.233.192.0,24.233.255.255,ARIN,,,,,
24.234.0.0,24.235.31.255,美国,,,,,
24.235.32.0,24.235.47.255,加拿大,,,,,
24.235.48.0,24.235.79.255,美国,,,,,
24.235.80.0,24.235.95.255,ARIN,,,,,
24.235.96.0,24.235.255.255,加拿大,,,,,
24.236.0.0,24.236.47.255,美国,,,,,
24.236.48.0,24.236.63.255,ARIN,,,,,
24.236.64.0,24.237.255.255,美国,,,,,
24.238.0.0,24.238.31.255,ARIN,,,,,
24.238.32.0,24.238.95.255,美国,,,,,
24.238.96.0,24.238.127.255,ARIN,,,,,
24.238.128.0,24.238.255.255,美国,,,,,
24.239.0.0,24.239.31.255,ARIN,,,,,
24.239.32.0,24.243.255.255,美国,,,,,
24.244.0.0,24.244.95.255,加拿大,,,,,
24.244.96.0,24.244.111.255,美国,,,,,
24.244.112.0,24.244.127.255,ARIN,,,,,
24.244.128.0,24.244.191.255,巴哈马,,,,,
24.244.192.0,24.244.255.255,加拿大,,,,,
24.245.0.0,24.245.79.255,美国,,,,,
24.245.80.0,24.246.191.255,ARIN,,,,,
24.246.192.0,24.246.223.255,美国,,,,,
24.246.224.0,24.246.255.255,ARIN,,,,,
24.247.0.0,24.255.255.255,美国,,,,,
25.0.0.0,25.255.255.255,英国,,,,,
26.0.0.0,26.255.255.255,美国,,,,,
27.0.0.0,27.255.255.255,IANA,,,,,
28.0.0.0,30.255.255.255,美国,,,,,
31.0.0.0,31.255.255.255,IANA,,,,,
32.0.0.0,32.255.255.255,美国,,,ATT公司,,
33.0.0.0,35.11.255.255,美国,,,,,
35.12.0.0,35.12.255.255,美国,,,密歇根州立大学,,
35.13.0.0,35.255.255.255,美国,,,,,
36.0.0.0,37.255.255.255,IANA,,,,,
38.0.0.0,38.255.255.255,美国,,,,,
39.0.0.0,39.255.255.255,IANA,,,,,
40.0.0.0,40.255.255.255,美国,,,,,
41.0.0.0,41.159.255.255,AFRINIC,,,,,
41.160.0.0,41.175.255.255,南非,,,,,
41.176.0.0,41.191.255.255,AFRINIC,,,,,
41.192.0.0,41.195.255.255,南非,,,,,
41.196.0.0,41.196.255.255,埃及,,,,,
41.197.0.0,41.197.255.255,卢旺达,,,,,
41.198.0.0,41.199.255.255,AFRINIC,,,,,
41.200.0.0,41.201.255.255,阿尔及利亚,,,,,
41.202.0.0,41.203.255.255,AFRINIC,,,,,
41.204.0.0,41.204.31.255,斯威士兰,,,,,
41.204.32.0,41.204.63.255,加纳,,,,,
41.204.64.0,41.204.95.255,喀麦隆,,,,,
41.204.96.0,41.204.127.255,马达加斯加,,,,,
41.204.128.0,41.204.159.255,坦桑尼亚,,,,,
41.204.160.0,41.204.191.255,肯尼亚,,,,,
41.204.192.0,41.204.223.255,南非,,,,,
41.204.224.0,41.204.255.255,尼日利亚,,,,,
41.205.0.0,41.205.31.255,喀麦隆,,,,,
41.205.32.0,41.205.63.255,安哥拉,,,,,
41.205.64.0,41.205.95.255,喀麦隆,,,,,
41.205.96.0,41.205.127.255,埃及,,,,,
41.205.128.0,41.205.159.255,纳米比亚,,,,,
41.205.160.0,41.205.191.255,尼日利亚,,,,,
41.205.192.0,41.205.223.255,摩洛哥,,,,,
41.205.224.0,41.205.255.255,塞拉利昂,,,,,
41.206.0.0,41.206.31.255,尼日利亚,,,,,
41.206.32.0,41.206.63.255,肯尼亚,,,,,
41.206.64.0,41.206.95.255,科特迪瓦,,,,,
41.206.96.0,41.206.127.255,加蓬,,,,,
41.206.128.0,41.206.159.255,埃及,,,,,
41.206.160.0,41.206.191.255,Teleglobe,,,,,
41.206.192.0,41.206.223.255,南非,,,,,
41.206.224.0,41.206.255.255,尼日利亚,,,,,
41.207.0.0,41.207.31.255,AFRINIC,,,,,
41.207.32.0,41.207.63.255,马达加斯加,,,,,
41.207.64.0,41.207.127.255,肯尼亚,,,,,
41.207.128.0,41.207.159.255,毛里求斯,,,,,
41.207.160.0,41.207.191.255,多哥,,,,,
41.207.192.0,41.207.223.255,科特迪瓦,,,,,
41.207.224.0,41.208.63.255,南非,,,,,
41.208.64.0,41.208.127.255,利比亚,,,,,
41.208.128.0,41.208.191.255,塞内加尔,,,,,
41.208.192.0,41.208.255.255,南非,,,,,
41.209.0.0,41.209.63.255,肯尼亚,,,,,
41.209.64.0,41.209.127.255,苏丹,,,,,
41.209.128.0,41.209.191.255,阿尔及利亚,,,,,
41.209.192.0,41.209.255.255,埃及,,,,,
41.210.0.0,41.210.63.255,加纳,,,,,
41.210.64.0,41.210.127.255,阿尔及利亚,,,,,
41.210.128.0,41.210.191.255,乌干达,,,,,
41.210.192.0,41.211.127.255,AFRINIC,,,,,
41.211.128.0,41.211.191.255,加蓬,,,,,
41.211.192.0,41.211.255.255,尼日利亚,,,,,
41.212.0.0,41.212.127.255,AFRINIC,,,,,
41.212.128.0,41.212.255.255,毛里求斯,,,,,
41.213.0.0,41.219.255.255,AFRINIC,,,,,
41.220.0.0,41.220.15.255,乌干达,,,,,
41.220.16.0,41.220.31.255,津巴布韦,,,,,
41.220.32.0,41.220.47.255,莫桑比克,,,,,
41.220.48.0,41.220.63.255,加纳,,,,,
41.220.64.0,41.220.79.255,尼日利亚,,,,,
41.220.80.0,41.220.95.255,AFRINIC,,,,,
41.220.96.0,41.220.111.255,塞舌尔,,,,,
41.220.112.0,41.220.127.255,肯尼亚,,,,,
41.220.128.0,41.220.143.255,坦桑尼亚,,,,,
41.220.144.0,41.220.159.255,阿尔及利亚,,,,,
41.220.160.0,41.220.175.255,莫桑比克,,,,,
41.220.176.0,41.220.191.255,坦桑尼亚,,,,,
41.220.192.0,41.220.207.255,莫桑比克,,,,,
41.220.208.0,41.220.223.255,乌干达,,,,,
41.220.224.0,41.220.239.255,肯尼亚,,,,,
41.220.240.0,41.220.255.255,坦桑尼亚,,,,,
41.221.0.0,41.221.15.255,南非,,,,,
41.221.16.0,41.221.31.255,阿尔及利亚,,,,,
41.221.32.0,41.221.239.255,AFRINIC,,,,,
41.221.240.0,41.221.255.255,安哥拉,,,,,
41.222.0.0,41.222.7.255,乌干达,,,,,
41.222.8.0,41.222.15.255,肯尼亚,,,,,
41.222.16.0,41.222.23.255,赞比亚,,,,,
41.222.24.0,41.222.31.255,坦桑尼亚,,,,,
41.222.32.0,41.222.39.255,南非,,,,,
41.222.40.0,41.222.47.255,尼日利亚,,,,,
41.222.48.0,41.222.55.255,南非,,,,,
41.222.56.0,41.222.63.255,坦桑尼亚,,,,,
41.222.64.0,41.222.79.255,尼日利亚,,,,,
41.222.80.0,41.222.247.255,AFRINIC,,,,,
41.222.248.0,41.223.3.255,安哥拉,,,,,
41.223.4.0,41.223.7.255,坦桑尼亚,,,,,
41.223.8.0,41.223.11.255,南非,,,,,
41.223.12.0,41.223.15.255,博茨瓦纳,,,,,
41.223.16.0,41.223.19.255,坦桑尼亚,,,,,
41.223.20.0,41.223.23.255,埃及,,,,,
41.223.24.0,41.223.27.255,尼日利亚,,,,,
41.223.28.0,41.223.31.255,喀麦隆,,,,,
41.223.32.0,41.223.39.255,南非,,,,,
41.223.40.0,41.223.43.255,安哥拉,,,,,
41.223.44.0,41.223.47.255,利比里亚,,,,,
41.223.48.0,41.223.51.255,肯尼亚,,,,,
41.223.52.0,41.223.55.255,埃及,,,,,
41.223.56.0,41.223.59.255,肯尼亚,,,,,
41.223.60.0,41.223.63.255,南非,,,,,
41.223.64.0,41.223.67.255,尼日利亚,,,,,
41.223.68.0,41.223.71.255,AFRINIC,,,,,
41.223.72.0,41.223.75.255,博茨瓦纳,,,,,
41.223.76.0,41.223.79.255,毛里求斯,,,,,
41.223.80.0,41.223.83.255,纳米比亚,,,,,
41.223.84.0,41.223.87.255,乌干达,,,,,
41.223.88.0,41.223.91.255,塞拉利昂,,,,,
41.223.92.0,41.223.99.255,加蓬,,,,,
41.223.100.0,41.223.103.255,安哥拉,,,,,
41.223.104.0,41.223.107.255,刚果,,,,,
41.223.108.0,41.223.111.255,肯尼亚,,,,,
41.223.112.0,41.223.115.255,南非,,,,,
41.223.116.0,41.223.235.255,AFRINIC,,,,,
41.223.236.0,41.223.239.255,南非,,,非洲网络信息中心,,
41.223.240.0,41.223.243.255,埃及,,,,,
41.223.244.0,41.223.247.255,南非,,,,,
41.223.248.0,41.223.251.255,贝宁,,,,,
41.223.252.0,41.223.255.255,南非,,,非洲网络信息中心,,
41.224.0.0,41.231.255.255,突尼斯,,,,,
41.232.0.0,41.239.255.255,埃及,,,,,
41.240.0.0,41.247.255.255,南非,,,,,
41.248.0.0,41.251.255.255,摩洛哥,,,,,
41.252.0.0,41.255.255.255,AFRINIC,,,,,
42.0.0.0,42.255.255.255,IANA,,,,,
43.0.0.0,43.255.255.255,日本,,,,,
44.0.0.0,45.255.255.255,美国,,,,,
46.0.0.0,46.255.255.255,IANA,,,,,
47.0.0.0,47.255.255.255,加拿大,,,贝尔试验室,,
48.0.0.0,48.255.255.255,美国,,,纽约州纽约市,,
49.0.0.0,50.255.255.255,IANA,,,,,
51.0.0.0,51.255.255.255,英国,,,社会保险安全部,,
52.0.0.0,52.255.255.255,美国,,,特拉华州dupont公司,,
53.0.0.0,53.255.255.255,德国,,,,,
54.0.0.0,54.255.255.255,美国,,,新泽西州Merck公司,,
55.0.0.0,55.255.255.255,美国,,,弗吉尼亚美国陆军部队,,
56.0.0.0,56.255.255.255,美国,,,北卡罗来纳美国邮政局,,
57.0.0.0,57.255.255.255,法国,,,国际航空通信学会,,
58.0.0.0,58.1.255.255,日本,,,,,
58.2.0.0,58.2.255.255,印度,,,,,
58.3.0.0,58.5.255.255,日本,,,,,
58.6.0.0,58.7.255.255,澳大利亚,,,,,
58.8.0.0,58.11.255.255,泰国,,,,,
58.12.0.0,58.13.255.255,日本,,,,,
58.14.0.0,58.15.255.255,中国,山东省,济南市,广电网,,
58.16.0.0,58.16.111.255,中国,贵州省,贵阳市,网通,,
58.16.112.0,58.16.127.255,中国,贵州省,黔南州,网通,,
58.16.128.0,58.16.223.255,中国,贵州省,贵阳市,网通,,
58.16.224.0,58.16.255.255,中国,贵州省,,网通,,
58.17.0.0,58.17.63.255,中国,江西省,南昌市,网通,,
58.17.64.0,58.17.95.255,中国,江西省,,网通,,
58.17.96.0,58.17.98.255,中国,江西省,抚州市,网通,,
58.17.99.0,58.17.103.255,中国,江西省,,网通,,
58.17.104.0,58.17.106.255,中国,江西省,上饶市,网通,,
58.17.107.0,58.17.111.255,中国,江西省,,网通,,
58.17.112.0,58.17.119.255,中国,江西省,赣州市,网通,,
58.17.120.0,58.17.127.255,中国,江西省,九江市,网通,,
58.17.128.0,58.17.255.255,中国,重庆市,,网通,,
58.18.0.0,58.18.15.255,中国,内蒙古,兴安盟,网通,,
58.18.16.0,58.18.31.255,中国,内蒙古,包头市,网通,,
58.18.32.0,58.18.47.255,中国,内蒙古,鄂尔多斯市,网通,,
58.18.48.0,58.18.63.255,中国,内蒙古,巴彦淖尔市,网通,,
58.18.64.0,58.18.67.255,中国,内蒙古,乌海市,网通,,
58.18.68.0,58.18.79.255,中国,内蒙古,,网通,,
58.18.80.0,58.18.91.255,中国,内蒙古,阿拉善盟,网通,,
58.18.92.0,58.18.95.255,中国,内蒙古,,网通,,
58.18.96.0,58.18.111.255,中国,内蒙古,乌兰察布盟,网通,,
58.18.112.0,58.18.127.255,中国,内蒙古,锡林郭勒盟,网通,,
58.18.128.0,58.18.143.255,中国,内蒙古,赤峰市,网通,,
58.18.144.0,58.18.159.255,中国,内蒙古,通辽市,网通,,
58.18.160.0,58.18.173.255,中国,内蒙古,呼和浩特市,网通,,
58.18.174.0,58.18.175.255,中国,内蒙古,包头市,网通,,
58.18.176.0,58.18.191.255,中国,内蒙古,呼伦贝尔市,网通,,
58.18.192.0,58.18.199.255,中国,内蒙古,,网通,,
58.18.200.0,58.18.203.255,中国,内蒙古,通辽市,网通,,
58.18.204.0,58.18.204.255,中国,内蒙古,,网通,,
58.18.205.0,58.18.207.255,中国,内蒙古,通辽市,网通,,
58.18.208.0,58.18.219.255,中国,内蒙古,,网通,,
58.18.220.0,58.18.239.255,中国,内蒙古,呼伦贝尔市,网通,,
58.18.240.0,58.18.247.255,中国,内蒙古,包头市,网通,,
58.18.248.0,58.18.255.255,中国,内蒙古,鄂尔多斯市,网通,,
58.19.0.0,58.19.127.255,中国,湖北省,武汉市,网通,,
58.19.128.0,58.19.129.255,中国,湖北省,荆州市,网通,,
58.19.130.0,58.19.130.255,中国,湖北省,,网通,,
58.19.131.0,58.19.131.127,中国,湖北省,襄樊市,联通,,
58.19.131.128,58.19.131.255,中国,湖北省,宜昌市,联通,,
58.19.132.0,58.19.139.255,中国,湖北省,,网通,,
58.19.140.0,58.19.140.255,中国,湖北省,黄石市,网通,,
58.19.141.0,58.19.141.255,中国,湖北省,荆门市,联通,,
58.19.142.0,58.19.143.255,中国,湖北省,黄石市,网通,,
58.19.144.0,58.19.155.255,中国,湖北省,,网通,,
58.19.156.0,58.19.159.255,中国,湖北省,武汉市,网通,,
58.19.160.0,58.19.179.255,中国,湖北省,,网通,,
58.19.180.0,58.19.183.255,中国,湖北省,襄樊市,网通,,
58.19.184.0,58.19.187.255,中国,湖北省,黄石市,网通,,
58.19.188.0,58.19.191.255,中国,湖北省,荆州市,网通,,
58.19.192.0,58.19.195.255,中国,湖北省,,网通,,
58.19.196.0,58.19.199.255,中国,湖北省,十堰市,网通,,
58.19.200.0,58.19.203.255,中国,湖北省,荆门市,网通,,
58.19.204.0,58.19.205.255,中国,湖北省,鄂州市,网通,,
58.19.206.0,58.19.207.255,中国,湖北省,,网通,,
58.19.208.0,58.19.211.255,中国,湖北省,咸宁市,网通,,
58.19.212.0,58.19.214.255,中国,湖北省,孝感市,网通,,
58.19.215.0,58.19.215.255,中国,湖北省,,网通,,
58.19.216.0,58.19.219.255,中国,湖北省,仙桃市,网通,,
58.19.220.0,58.19.231.255,中国,湖北省,荆州市,网通,,
58.19.232.0,58.19.239.255,中国,湖北省,襄樊市,网通,,
58.19.240.0,58.19.247.255,中国,湖北省,宜昌市,网通,,
58.19.248.0,58.19.255.255,中国,湖北省,武汉市,网通,,
58.20.0.0,58.20.127.255,中国,湖北省,长沙市,网通,,
58.20.128.0,58.20.159.255,中国,湖北省,岳阳市,网通,,
58.20.160.0,58.20.183.255,中国,湖北省,衡阳市,网通,,
58.20.184.0,58.20.191.255,中国,湖北省,,网通,,
58.20.192.0,58.20.207.255,中国,湖北省,株洲市,网通,,
58.20.208.0,58.20.223.255,中国,湖北省,,网通,,
58.20.224.0,58.20.239.255,中国,湖北省,湘潭市,网通,,
58.20.240.0,58.20.247.255,中国,湖北省,益阳市,网通,,
58.20.248.0,58.20.251.255,中国,湖北省,,网通,,
58.20.252.0,58.20.255.255,中国,湖北省,郴州市,网通,,
58.21.0.0,58.21.255.255,中国,吉林省,,网通,,
58.22.0.0,58.22.127.255,中国,福建省,福州市,网通,,
58.22.128.0,58.22.143.255,中国,福建省,莆田市,网通,,
58.22.144.0,58.22.191.255,中国,福建省,,网通,,
58.22.192.0,58.22.203.255,中国,福建省,三明市,网通,,
58.22.204.0,58.22.223.255,中国,福建省,,网通,,
58.22.224.0,58.22.239.255,中国,福建省,龙岩市,网通,,
58.22.240.0,58.23.31.255,中国,福建省,,网通,,
58.23.32.0,58.23.56.255,中国,福建省,厦门市,网通,,
58.23.57.0,58.23.71.255,中国,福建省,,网通,,
58.23.72.0,58.23.95.255,中国,福建省,泉州市,网通,,
58.23.96.0,58.23.111.255,中国,福建省,漳州市,网通,,
58.23.112.0,58.23.255.255,中国,福建省,,网通,,
58.24.0.0,58.24.23.255,中国,上海市,上海市,有线通,,
58.24.24.0,58.24.39.255,中国,上海市,上海市,有线通,,
58.24.40.0,58.24.79.255,中国,上海市,上海市,有线通,,
58.24.80.0,58.24.103.255,中国,上海市,上海市,有线通,,
58.24.104.0,58.24.135.255,中国,上海市,上海市,有线通,,
58.24.136.0,58.24.143.255,中国,上海市,上海市,有线通,,
58.24.144.0,58.24.167.255,中国,上海市,上海市,有线通,,
58.24.168.0,58.24.175.255,中国,上海市,上海市,有线通,,
58.24.176.0,58.24.191.255,中国,上海市,上海市,有线通,,
58.24.192.0,58.24.207.255,中国,上海市,上海市,有线通,,
58.24.208.0,58.24.255.255,中国,上海市,上海市,有线通,,
58.25.0.0,58.25.255.255,中国,上海市,上海市,有线通,,
58.26.0.0,58.27.127.255,马来西亚,,,,,
58.27.128.0,58.27.255.255,巴基斯坦,,,,,
58.28.0.0,58.28.255.255,新西兰,,,,,
58.29.0.0,58.29.255.255,韩国,,,,,
58.30.0.0,58.31.255.255,中国,北京市,北京市,歌华宽带,,
58.32.0.0,58.32.19.255,中国,上海市,上海市,电信,,
58.32.20.0,58.32.39.255,中国,上海市,上海市,电信,,
58.32.40.0,58.32.59.255,中国,上海市,上海市,电信,,
58.32.60.0,58.32.79.255,中国,上海市,上海市,电信,,
58.32.80.0,58.32.99.255,中国,上海市,上海市,电信,,
58.32.100.0,58.32.255.255,中国,上海市,上海市,电信,,
58.33.0.0,58.33.19.255,中国,上海市,上海市,电信,,
58.33.20.0,58.33.59.255,中国,上海市,上海市,电信,,
58.33.60.0,58.33.79.255,中国,上海市,上海市,电信,,
58.33.80.0,58.33.99.255,中国,上海市,上海市,电信,,
58.33.100.0,58.33.119.255,中国,上海市,上海市,电信,,
58.33.120.0,58.33.139.255,中国,上海市,上海市,电信,,
58.33.140.0,58.33.159.255,中国,上海市,上海市,电信,,
58.33.160.0,58.33.179.255,中国,上海市,上海市,电信,,
58.33.180.0,58.33.199.255,中国,上海市,上海市,电信,,
58.33.200.0,58.33.219.255,中国,上海市,上海市,电信,,
58.33.220.0,58.33.239.255,中国,上海市,上海市,电信,,
58.33.240.0,58.33.247.255,中国,上海市,上海市,电信,,
58.33.248.0,58.33.251.255,中国,上海市,上海市,电信,,
58.33.252.0,58.33.255.255,中国,上海市,上海市,电信,,
58.34.0.0,58.34.19.255,中国,上海市,上海市,电信,,
58.34.20.0,58.34.39.255,中国,上海市,上海市,电信,,
58.34.40.0,58.34.59.255,中国,上海市,上海市,电信,,
58.34.60.0,58.34.99.255,中国,上海市,上海市,电信,,
58.34.100.0,58.34.139.255,中国,上海市,上海市,电信,,
58.34.140.0,58.34.159.255,中国,上海市,上海市,电信,,
58.34.160.0,58.34.179.255,中国,上海市,上海市,电信,,
58.34.180.0,58.34.187.255,中国,上海市,上海市,电信,,
58.34.188.0,58.34.255.255,中国,上海市,上海市,电信,,
58.35.0.0,58.35.7.255,中国,上海市,上海市,电信,,
58.35.8.0,58.35.15.255,中国,上海市,上海市,电信,,
58.35.16.0,58.35.23.255,中国,上海市,上海市,电信,,
58.35.24.0,58.35.31.255,中国,上海市,上海市,电信,,
58.35.32.0,58.35.39.255,中国,上海市,上海市,电信,,
58.35.40.0,58.35.47.255,中国,上海市,上海市,电信,,
58.35.48.0,58.35.55.255,中国,上海市,上海市,电信,,
58.35.56.0,58.35.63.255,中国,上海市,上海市,电信,,
58.35.64.0,58.35.79.255,中国,上海市,上海市,电信,,
58.35.80.0,58.35.87.255,中国,上海市,上海市,电信,,
58.35.88.0,58.35.95.255,中国,上海市,上海市,电信,,
58.35.96.0,58.35.103.255,中国,上海市,上海市,电信,,
58.35.104.0,58.35.111.255,中国,上海市,上海市,电信,,
58.35.112.0,58.35.119.255,中国,上海市,上海市,电信,,
58.35.120.0,58.35.127.255,中国,上海市,上海市,电信,,
58.35.128.0,58.35.143.255,中国,上海市,上海市,电信,,
58.35.144.0,58.35.147.255,中国,上海市,上海市,电信,,
58.35.148.0,58.35.163.255,中国,上海市,上海市,电信,,
58.35.164.0,58.35.187.255,中国,上海市,上海市,电信,,
58.35.188.0,58.35.195.255,中国,上海市,上海市,电信,,
58.35.196.0,58.35.239.255,中国,上海市,上海市,电信,,
58.35.240.0,58.35.247.255,中国,上海市,上海市,电信,,
58.35.248.0,58.36.255.255,中国,上海市,上海市,电信,,
58.37.0.0,58.37.39.255,中国,上海市,上海市,电信,,
58.37.40.0,58.37.59.255,中国,上海市,上海市,电信,,
58.37.60.0,58.37.79.255,中国,上海市,上海市,电信,,
58.37.80.0,58.37.99.255,中国,上海市,上海市,电信,,
58.37.100.0,58.37.139.255,中国,上海市,上海市,电信,,
58.37.140.0,58.37.159.255,中国,上海市,上海市,电信,,
58.37.160.0,58.37.179.255,中国,上海市,上海市,电信,,
58.37.180.0,58.37.199.255,中国,上海市,上海市,电信,,
